               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.031644,           0.0081322,                   0,             0.92129,             0.92702,             0.95112,             0.57169,             0.03025,           0.0057795,                   0,          0.00077296,          0.00077296,          0.00077296
                  69,            0.033039,           0.0082889,                   0,             0.89862,             0.90914,             0.94473,             0.53907,            0.030377,           0.0058787,                   0,          0.00076679,          0.00076679,          0.00076679
                  70,             0.03182,           0.0080514,                   0,             0.88104,             0.93491,             0.94474,             0.55767,            0.030165,           0.0058723,                   0,          0.00076057,          0.00076057,          0.00076057
                  71,            0.034715,           0.0081516,                   0,             0.90229,              0.9289,             0.94979,             0.54524,            0.030467,           0.0058529,                   0,           0.0007543,           0.0007543,           0.0007543
                  72,            0.033192,           0.0079914,                   0,             0.89788,             0.91911,             0.94484,             0.54635,            0.031349,           0.0058237,                   0,          0.00074797,          0.00074797,          0.00074797
                  73,            0.032316,           0.0084242,                   0,             0.90144,             0.94083,             0.95716,             0.56905,            0.030616,           0.0057809,                   0,           0.0007416,           0.0007416,           0.0007416
                  74,            0.032636,           0.0082158,                   0,              0.9029,             0.91707,             0.94923,             0.56083,            0.029721,           0.0057671,                   0,          0.00073518,          0.00073518,          0.00073518
                  75,            0.032163,           0.0081323,                   0,              0.9206,             0.91519,             0.95654,             0.56843,             0.03017,           0.0058122,                   0,          0.00072872,          0.00072872,          0.00072872
                  76,              0.0328,           0.0084547,                   0,             0.88142,             0.90899,             0.93688,              0.5379,            0.032993,           0.0059691,                   0,          0.00072221,          0.00072221,          0.00072221
                  77,            0.031809,            0.008031,                   0,             0.90132,             0.93677,             0.95378,             0.55146,            0.031063,           0.0056992,                   0,          0.00071566,          0.00071566,          0.00071566
                  78,            0.032644,           0.0086589,                   0,             0.90194,             0.90708,             0.94159,              0.5131,            0.033213,           0.0058691,                   0,          0.00070906,          0.00070906,          0.00070906
                  79,            0.031233,           0.0079995,                   0,              0.9122,             0.92505,              0.9486,             0.56431,            0.028647,           0.0056608,                   0,          0.00070243,          0.00070243,          0.00070243
                  80,            0.030814,           0.0080347,                   0,             0.93013,             0.91905,             0.95128,             0.54866,             0.03008,           0.0058558,                   0,          0.00069576,          0.00069576,          0.00069576
